Gene name	Human Protein Atlas ID	EntrezGene transcript name ID
ADAP1	7033	
ADAP1		
ADAP1		
RPS21	HPA003371	
RPS21	3371	
ADAP1		
RPS21		
RPS21		
DEFB125	HPA043095	
DEFB125	43095	
RPS21	3371	
RNF5	CAB034107	
RNF5	HPA065032	
RNF5	34107	
RNF5	65032	
SRMS	CAB044668	
SRMS	CAB044669	
SRMS	HPA073987	
SRMS	44668	
SRMS	44669	
SRMS	73987	
AC187653.1		
AC187653.1		
RMND5A	HPA046795	
RMND5A	HPA060843	
RMND5A	46795	
RMND5A	60843	
CT47A11	HPA042483	
CT47A11	42483	
DDAH2		
ADAP1	12049	
GABBR1	HPA050483	
GABBR1	HPA058459	
DEFB126		
CT47A10	HPA042483	
CT47A10	42483	
GABBR1	HPA050483	
GABBR1	HPA058459	
ADAP1	HPA007033	
ADAP1	HPA012049	
ADAP1	7033	
ADAP1	HPA007033	
ADAP1	HPA012049	
ADAP1	7033	
ADAP1	12049	
ADAP1	HPA007033	
ADAP1	HPA012049	
ADAP1	7033	
RNF103	HPA057922	
RNF103	57922	
LYZL1		
ADAP1	7033	
GABBR1	HPA050483	
GABBR1	HPA058459	
LYZL1		
VARS	HPA046710	
DDAH2	HPA012509	
DDAH2	12509	
VARS		
OTUB1	72836	
LYZL1		
GABBR1	HPA050483	
GABBR1	HPA058459	
EN1	CAB014884	
EN1	HPA073141	
EN1	14884	
EN1	73141	
TLX2	HPA040969	
TLX2	HPA062254	
TLX2	40969	
TLX2	62254	
DDAH2	HPA012509	
DDAH2	12509	
ELF4	HPA058595	
ELF4	HPA060277	
ELF4	58595	
ELF4	60277	
IGHV3-66		
COX19		
TRBV5-5		
KRTAP1-3		
TLX2		
KRTAP1-1		
COX19	HPA021226	
COX19	21226	
MBD3L5	HPA051259	
MBD3L5	51259	
KRTAP2-1	HPA059203	
VARS		
KRTAP2-1		
ELF4	HPA058595	
ELF4	HPA060277	
ELF4	58595	
ELF4	60277	
AC037482.2		
ELF4		
AC037482.2		
SRD5A3	HPA027006	
SRD5A3	27006	
MBD3L4	HPA051259	
MBD3L4	51259	
CCR8	HPA042383	
CCR8	42383	
SRD5A3		
RNF103-CHMP3	15673	
RNF103-CHMP3	73383	
RNF103-CHMP3	73383	
PLEKHG4B	36274	
PLEKHG4B	58157	
KRTAP2-3	HPA059203	
ELF4	60277	
PLEKHG4B		
CCR8	42383	
CT47A9	HPA042483	
CT47A9	42483	
NLRP14	HPA039477	
NLRP14	39477	
PLEKHG4B	HPA036274	
PLEKHG4B	HPA058157	
PLEKHG4B	36274	
PLEKHG4B	58157	
DDAH2	HPA012509	
DDAH2	12509	
ARMH3	HPA050913	
ARMH3	HPA053580	
ARMH3	50913	
ARMH3	53580	
MBD3L2	HPA051259	
MBD3L2	51259	
ARMH3		
OTUB1	39176	
OTUB1	72836	
LDLRAD3	HPA038251	
LDLRAD3	38251	
LDLRAD3	38251	
OTUB1	CAB072836	
OTUB1	HPA039176	
OTUB1	39176	
OTUB1	72836	
ARMH3	50913	
LDLRAD3	HPA038251	
LDLRAD3	38251	
NOL4L	HPA041768	
NOL4L	HPA043600	
NOL4L	41768	
NOL4L	43600	
OTUB1	CAB072836	
OTUB1	HPA039176	
OTUB1	39176	
OTUB1	72836	
TIPIN	HPA039704	
TIPIN	HPA058799	
TIPIN	39704	
TIPIN	58799	
OTUB1	39176	
OTUB1	72836	
DEFB127		
OTUB1	72836	
DDAH2	12509	
OTUB1		
DDAH2	12509	
SPATA25	HPA041386	
SPATA25	41386	
DEFB128		
TIPIN		
NOL4L	41768	
NOL4L	43600	
NOL4L		
KCNIP3	HPA069797	
KCNIP3	69797	
OTUB1	39176	
OTUB1	72836	
TIPIN	39704	
TIPIN	58799	
NOL4L		
TAMM41		
NOL4L		
HLA-B		
ZSCAN16	HPA007290	
ZSCAN16	7290	
FLRT1	54589	
SLC6A8		
TIPIN		
NOL4L		
OPRL1		
NOL4L		
TAMM41		
NOL4L		
CHMP3	HPA015673	
CHMP3	HPA073383	
CHMP3	15673	
CHMP3	73383	
HLA-B		
TIPIN		
SPACA7	HPA048349	
SPACA7	48349	
KCNIP3	HPA069797	
SLC25A38	HPA041027	
SLC6A8		
CHMP3	HPA015673	
CHMP3	HPA073383	
CHMP3	15673	
CHMP3	73383	
SAPCD1	HPA071699	
SAPCD1	71699	
SPACA7		
HLA-B		
NOL4L	41768	
NOL4L	43600	
TAMM41		
SPACA7		
OPRL1		
TIMM22	HPA045138	
TIMM22	45138	
KCNIP3	69797	
SPACA7	48349	
OPRL1		
HLA-E	HPA031454	
SLC25A38		
SAPCD1	HPA071699	
SAPCD1	71699	
SLC25A38		
SLC25A38		
TAMM41		
SLC25A38		
SLC25A38		
CHMP3	HPA015673	
CHMP3	HPA073383	
CHMP3	15673	
TAMM41		
SLC25A38		
TRBV6-7		
SLC6A8		
SLC25A38		
LENG8	HPA042004	
LENG8	HPA042056	
LENG8	HPA061571	
UBL7	41897	
TAMM41		
ZNF165	HPA007247	
ZNF165	7247	
AMTN	HPA036136	
AMTN	HPA036137	
AMTN	36136	
AMTN	36137	
TAMM41		
TRBV7-6		
LENG8		
LENG8		
SLC6A11	HPA037981	
SLC6A11	37981	
AMTN	HPA036136	
AMTN	HPA036137	
AMTN	36136	
AMTN	36137	
TRBV5-6		
SLC6A8		
TRBV6-8		
SLC6A11	HPA037981	
LENG8	HPA042004	
LENG8	HPA042056	
LENG8	HPA061571	
TMED3	HPA049314	
TMED3	HPA076949	
TMED3	76949	
KRTAP2-4	HPA059203	
LENG9		
TRBV7-7		
SLC6A8		
TRBV5-7		
TMED3	HPA049314	
TMED3	HPA076949	
TMED3	49314	
TMED3	76949	
TRBV7-9		
TMED3	76949	
TMED3		
SLC6A8		
TMED3		
MACROD1	HPA041031	
MACROD1	HPA071075	
MACROD1	41031	
MACROD1	71075	
BAZ1B	CAB037081	
BAZ1B	CAB037158	
BAZ1B	HPA067010	
BAZ1B	37081	
BAZ1B	37158	
